Frequency (nm),Sample,Lower_CI,Central,Upper_CI,Deviation
1184.85,SCC,6.0141094,12.8448325,31.431958,7.211035624
1189.59,SCC,6.1480362,12.731626,31.262264,7.186620205
1194.32,SCC,6.070704,12.785154,30.86983,7.227294947
1199.06,SCC,6.1006762,12.8558155,30.973724,7.237157358
1203.8,SCC,6.1508235,12.9254595,30.736876,7.254537447
1208.53,SCC,6.280107,13.0395235,30.983204,7.326242323
1213.27,SCC,6.348048,13.332044,31.53644,7.527677082
1218.01,SCC,6.571671,13.6685945,32.403573,7.69889265
1222.74,SCC,6.752656,13.996611,33.209905,7.911147065
1227.48,SCC,6.889353,14.4150855,34.130073,8.065210958
1232.22,SCC,7.03058,14.3634895,34.903765,8.239590377
1236.95,SCC,7.251362,14.784392,35.660377,8.393197589
1241.69,SCC,7.195086,14.869526,36.441484,8.58620997
1246.42,SCC,7.205113,15.083071,36.885506,8.651227962
1251.16,SCC,7.445008,15.1380975,36.991754,8.679046821
1255.9,SCC,7.3006466,15.0294875,37.790868,8.779786995
1260.63,SCC,7.238193,15.093614,37.430787,8.743153167
1265.37,SCC,7.103825,15.054774,37.324113,8.73298303
1270.11,SCC,7.1061015,14.796097,37.042853,8.67069778
1274.84,SCC,7.0866145,14.41649,37.067157,8.595918662
1279.58,SCC,6.798329,14.2551095,36.39888,8.476917956
1284.32,SCC,6.806283,14.021777,35.522497,8.284873901
1289.05,SCC,6.555184,13.7218305,34.840953,8.060724252
1293.79,SCC,6.310014,13.19538,33.910623,7.848052708
1298.53,SCC,5.989034,12.6224015,32.602432,7.543663834
1303.26,SCC,5.6322917,12.077116,31.49985,7.250641102
1308,SCC,5.2890684,11.43721305,30.163318,6.894485415
1312.74,SCC,5.0587174,10.698827,28.483146,6.509005763
1317.47,SCC,4.5949534,10.10772525,26.95505,6.133630975
1322.21,SCC,4.3064073,9.5165815,25.44526,5.797398569
1326.95,SCC,3.816364,8.9765502,23.763889,5.478840991
1331.68,SCC,3.5845455,8.3983445,22.757499,5.199863185
1336.42,SCC,3.2278996,7.7536453,21.451706,4.957538155
1341.16,SCC,2.9469548,7.2614743,20.872274,4.787145947
1345.89,SCC,2.6261099,6.76826875,20.105071,4.602679925
1350.63,SCC,2.384802,6.3067505,19.840364,4.46471076
1355.37,SCC,2.2486212,6.04683235,19.106933,4.310930419
1360.1,SCC,1.9576233,5.6338113,18.45675,4.168767315
1364.84,SCC,1.8112157,5.14776115,17.982747,3.875561022
1369.58,SCC,1.4880202,4.7903383,16.615312,3.677931612
1374.31,SCC,1.3563772,4.3177045,15.399402,3.34149685
1379.05,SCC,1.0418795,3.7509885,14.38576,3.019222808
1383.79,SCC,0.9118541,3.3296905,13.914071,2.751802283
1388.52,SCC,0.7235622,2.94248835,13.2626,2.596943833
1393.26,SCC,0.6707437,2.7797568,12.722692,2.466324173
1397.99,SCC,0.5217392,2.6111045,12.495691,2.365041045
1402.73,SCC,0.5110452,2.5033111,12.3454064,2.286916138
1407.47,SCC,0.4849465,2.47229485,11.794654,2.249765324
1412.2,SCC,0.5232379,2.40978905,11.918546,2.175575157
1416.94,SCC,0.4396893,2.35321705,11.7044,2.159659391
1421.68,SCC,0.4583792,2.36185865,11.531299,2.149406082
1426.41,SCC,0.446489,2.3135535,11.554152,2.115535632
1431.15,SCC,0.4619852,2.35849165,11.5250744,2.108427686
1435.89,SCC,0.5127432,2.3543264,11.367299,2.103914829
1440.62,SCC,0.4728691,2.2501622,11.290573,2.082161989
1445.36,SCC,0.4518461,2.29769875,11.435467,2.101396312
1450.1,SCC,0.4914005,2.3414223,11.294517,2.094781296
1454.83,SCC,0.482969,2.32333155,11.121167,2.090232187
1459.57,SCC,0.4947078,2.3290174,11.1754484,2.072348031
1464.31,SCC,0.5100267,2.35070215,10.954472,2.069054053
1469.04,SCC,0.5238719,2.35575595,10.915534,2.092875608
1473.78,SCC,0.5740671,2.40949485,11.0551864,2.075999123
1478.52,SCC,0.5298527,2.4064677,10.612563,2.094788482
1483.25,SCC,0.5073021,2.4582627,10.5696835,2.128552941
1487.99,SCC,0.5536558,2.4779658,10.4491435,2.142317899
1492.73,SCC,0.6083782,2.5650388,10.391993,2.134768183
1497.46,SCC,0.5656566,2.6474334,10.675071,2.231248654
1502.2,SCC,0.6102414,2.7473052,10.504294,2.244583904
1506.94,SCC,0.6871166,2.8687195,10.6024094,2.277454879
1511.67,SCC,0.7148749,2.99945485,10.882605,2.315428852
1516.41,SCC,0.7140732,3.03475195,10.9192036,2.35789068
1521.15,SCC,0.6750241,3.16197055,11.136,2.46395267
1525.88,SCC,0.7636502,3.2148815,11.061026,2.416507243
1530.62,SCC,0.7392197,3.34038725,10.9642856,2.47089754
1535.35,SCC,0.8083141,3.4069006,11.344538,2.503197706
1540.09,SCC,0.8750995,3.55330665,12.045454,2.548201977
1544.83,SCC,0.8524002,3.615031,11.989223,2.677608727
