Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
1085.38,BCC,0.826381646,5.68E-42,2.0805883,6.753872905
1090.12,BCC,0.841022127,1.16E-40,1.952038654,6.044220763
1094.85,BCC,0.845119088,2.82E-40,1.900271136,5.683902016
1099.59,BCC,0.850252143,8.80E-40,1.825026953,5.129009543
1104.33,BCC,0.851668539,1.21E-39,1.78963636,4.855987941
1109.06,BCC,0.855186747,2.71E-39,1.746363412,4.555404311
1113.8,BCC,0.85588349,3.18E-39,1.720633753,4.366055981
1118.54,BCC,0.858535327,5.90E-39,1.689688675,4.187986075
1123.27,BCC,0.859479186,7.37E-39,1.656409708,3.980139132
1128.01,BCC,0.857460584,4.59E-39,1.636113713,3.77164544
1132.75,BCC,0.861062853,1.07E-38,1.580753472,3.429932227
1137.48,BCC,0.862874654,1.66E-38,1.543187695,3.156932428
1142.22,BCC,0.860256404,8.86E-39,1.53780132,3.041251984
1146.96,BCC,0.862661127,1.58E-38,1.519225197,2.922464023
1151.69,BCC,0.862603225,1.55E-38,1.512298368,2.849868583
1156.43,BCC,0.863136494,1.77E-38,1.497974434,2.742836586
1161.17,BCC,0.861665702,1.24E-38,1.514048358,2.826989637
1165.9,BCC,0.862015946,1.35E-38,1.500333193,2.730514022
1170.64,BCC,0.860785469,1.01E-38,1.505011066,2.744037724
1175.38,BCC,0.862501227,1.52E-38,1.498065828,2.707036071
1180.11,BCC,0.861960319,1.33E-38,1.505265362,2.749573741
1184.85,BCC,0.864162062,2.26E-38,1.490598452,2.67475435
1189.59,BCC,0.861468761,1.18E-38,1.51615814,2.806913405
1194.32,BCC,0.858017692,5.23E-39,1.563221322,3.108393563
1199.06,BCC,0.853749292,1.94E-39,1.61852392,3.472788651
1203.8,BCC,0.847799017,5.09E-40,1.691517684,3.952471417
1208.53,BCC,0.84338798,1.94E-40,1.737903524,4.277967389
1213.27,BCC,0.839401569,8.25E-41,1.785166972,4.614655403
1218.01,BCC,0.834876775,3.19E-41,1.806232953,4.720063511
1222.74,BCC,0.835282761,3.47E-41,1.801959205,4.718219184
1227.48,BCC,0.834235601,2.80E-41,1.796025676,4.661636193
1232.22,BCC,0.836917202,4.88E-41,1.760507545,4.409079619
1236.95,BCC,0.83831155,6.55E-41,1.744306509,4.300121285
1241.69,BCC,0.83732055,5.32E-41,1.74240195,4.257489799
1246.42,BCC,0.840113281,9.59E-41,1.700176785,3.984320558
1251.16,BCC,0.843931845,2.18E-40,1.656909166,3.699610276
1255.9,BCC,0.84596615,3.40E-40,1.633114695,3.531403506
1260.63,BCC,0.848146006,5.50E-40,1.607097871,3.381376139
1265.37,BCC,0.845964841,3.40E-40,1.61534376,3.405500998
1270.11,BCC,0.847065666,4.33E-40,1.606752703,3.353324168
1274.84,BCC,0.846751314,4.04E-40,1.60585995,3.33373356
1279.58,BCC,0.847783139,5.08E-40,1.590964254,3.223929276
1284.32,BCC,0.848128749,5.48E-40,1.57686953,3.119632581
1289.05,BCC,0.849636995,7.67E-40,1.5557586,2.961788625
1293.79,BCC,0.851111329,1.07E-39,1.546050658,2.91967336
1298.53,BCC,0.849323642,7.15E-40,1.55088856,2.902068708
1303.26,BCC,0.84786488,5.17E-40,1.569686161,3.00140609
1308,BCC,0.845007225,2.76E-40,1.600247464,3.154644003
1312.74,BCC,0.840917251,1.14E-40,1.649928585,3.431234333
1317.47,BCC,0.83647897,4.46E-41,1.692001221,3.631761432
1322.21,BCC,0.832050639,1.78E-41,1.73647847,3.86976729
1326.95,BCC,0.827011553,6.44E-42,1.796466495,4.202407137
1331.68,BCC,0.819688311,1.53E-42,1.850579373,4.436494204
1336.42,BCC,0.814930234,6.16E-43,1.872995732,4.488453075
1341.16,BCC,0.810260187,2.57E-43,1.911727168,4.679106113
1345.89,BCC,0.804937954,9.70E-44,1.947253182,4.843594058
1350.63,BCC,0.801202219,4.96E-44,1.976036863,4.95631944
1355.37,BCC,0.79610459,2.02E-44,2.012722356,5.136464368
1360.1,BCC,0.796898302,2.32E-44,2.000567846,4.993840966
1364.84,BCC,0.791773966,9.53E-45,2.016844884,4.985795176
1369.58,BCC,0.786001972,3.58E-45,2.053351228,5.094365263
1374.31,BCC,0.78282675,2.11E-45,2.085503791,5.265575619
1379.05,BCC,0.770616497,2.91E-46,2.148459865,5.581552674
1383.79,BCC,0.766325528,1.48E-46,2.20259047,5.923378514
1388.52,BCC,0.752693634,1.85E-47,2.286982574,6.375373867
1393.26,BCC,0.749919589,1.23E-47,2.327160618,6.698145761
1397.99,BCC,0.744013547,5.17E-48,2.343305356,6.777228101
1402.73,BCC,0.738712569,2.42E-48,2.376061113,6.938763624
1407.47,BCC,0.739745052,2.80E-48,2.379956033,6.955360673
1412.2,BCC,0.741498181,3.60E-48,2.353473832,6.798136515
1416.94,BCC,0.743260656,4.64E-48,2.352734668,6.825208563
1421.68,BCC,0.7323975,9.92E-49,2.38139467,6.855031464
1426.41,BCC,0.738431118,2.32E-48,2.34552958,6.64610639
1431.15,BCC,0.738158087,2.23E-48,2.343122657,6.626982138
1435.89,BCC,0.733926243,1.23E-48,2.351452563,6.600957009
1440.62,BCC,0.730850447,8.00E-49,2.36555104,6.657906668
1445.36,BCC,0.732049783,9.45E-49,2.360953246,6.643773119
1450.1,BCC,0.729041507,6.22E-49,2.369371937,6.651847135
1454.83,BCC,0.727894493,5.31E-49,2.389625797,6.790266347
1459.57,BCC,0.731233867,8.44E-49,2.36540215,6.629941241
1464.31,BCC,0.735282941,1.49E-48,2.349941866,6.565080913
1469.04,BCC,0.73342142,1.14E-48,2.350614083,6.573821234
1473.78,BCC,0.73310516,1.10E-48,2.347362785,6.482018269
1478.52,BCC,0.736192996,1.69E-48,2.349959901,6.542843766
1483.25,BCC,0.736406686,1.74E-48,2.349426027,6.532167343
1487.99,BCC,0.741824794,3.77E-48,2.337669749,6.525518414
1492.73,BCC,0.740014737,2.91E-48,2.337737507,6.468357376
1497.46,BCC,0.75071771,1.38E-47,2.300986231,6.294805333
1502.2,BCC,0.755724481,2.92E-47,2.28021883,6.195677952
1506.94,BCC,0.765714959,1.35E-46,2.240968857,6.030750759
1511.67,BCC,0.784312863,2.70E-45,2.125579519,5.46840257
1516.41,BCC,0.792618679,1.10E-44,2.094840242,5.353349528
1521.15,BCC,0.803634743,7.66E-44,2.026294068,5.010953541
1525.88,BCC,0.810751326,2.82E-43,1.984668148,4.853871644
1530.62,BCC,0.820100416,1.66E-42,1.913435068,4.47611458
1535.35,BCC,0.824870016,4.21E-42,1.916166029,4.578240389
1540.09,BCC,0.833453655,2.38E-41,1.838737327,4.185784155
1544.83,BCC,0.83374956,2.53E-41,1.856896833,4.325438878
1549.56,BCC,0.83387968,2.60E-41,1.83222376,4.130181932
1554.3,BCC,0.839744484,8.87E-41,1.856594187,4.504428803
1559.04,BCC,0.850502332,9.31E-40,1.783891543,4.15908169
1563.77,BCC,0.855009746,2.60E-39,1.755306582,4.082258808
1568.51,BCC,0.859096612,6.74E-39,1.72880263,3.941138528
1573.25,BCC,0.869753272,9.01E-38,1.677273795,3.849278877
1577.98,BCC,0.880139652,1.34E-36,1.634638979,3.914265635
1582.72,BCC,0.895717354,1.11E-34,1.518736563,3.528406729
1587.46,BCC,0.908072743,5.46E-33,1.447323447,3.498915551
1592.19,BCC,0.926763049,4.73E-30,1.257272205,2.754136781
1596.93,BCC,0.942260371,3.92E-27,1.127662232,2.784358953
1601.67,BCC,0.958403107,2.29E-23,0.908473427,1.728887357
1606.4,BCC,0.965538043,2.44E-21,0.825884618,1.549554347
900.656,SCC,0.966280174,1.57E-16,0.630428586,-0.038185092
905.393,SCC,0.961075934,7.55E-18,0.652233558,-0.12821674
910.129,SCC,0.956330831,6.04E-19,0.655549638,-0.183878054
914.866,SCC,0.950364398,3.30E-20,0.703706907,-0.131764674
919.602,SCC,0.931049205,1.19E-23,0.795314625,-0.087431323
924.339,SCC,0.920930406,3.60E-25,0.869896146,0.081724998
929.075,SCC,0.912702271,2.67E-26,0.903042915,0.11119703
933.812,SCC,0.91207798,2.21E-26,0.899773491,0.08556024
938.549,SCC,0.912170563,2.27E-26,0.903150929,0.114112452
943.285,SCC,0.912618416,2.60E-26,0.934834236,0.28144243
948.022,SCC,0.911467938,1.84E-26,0.970444476,0.44632231
952.758,SCC,0.915207376,5.78E-26,0.918536124,0.291582489
957.495,SCC,0.917713724,1.27E-25,0.912872895,0.308740597
962.231,SCC,0.920454516,3.08E-25,0.889411724,0.239153237
966.968,SCC,0.922820702,6.74E-25,0.879580083,0.221897819
971.704,SCC,0.922697679,6.47E-25,0.876550843,0.201687851
976.441,SCC,0.919656589,2.38E-25,0.902399134,0.247462568
981.178,SCC,0.919073202,1.97E-25,0.917128149,0.280231111
985.914,SCC,0.919430343,2.21E-25,0.906451981,0.244456919
990.651,SCC,0.917310007,1.12E-25,0.90843374,0.190340224
995.387,SCC,0.918368024,1.57E-25,0.896861475,0.157020709
1000.12,SCC,0.917443059,1.17E-25,0.890386693,0.108975688
1004.86,SCC,0.915689656,6.71E-26,0.886830729,0.052977713
1009.6,SCC,0.917343183,1.13E-25,0.880061415,0.059434786
1014.33,SCC,0.918154525,1.46E-25,0.870538209,0.022358152
1019.07,SCC,0.917403355,1.15E-25,0.857396003,-0.033669027
1023.81,SCC,0.918781135,1.79E-25,0.845742558,-0.063358533
1028.54,SCC,0.919259874,2.09E-25,0.830167825,-0.113090095
1033.28,SCC,0.919901334,2.57E-25,0.82132704,-0.139340246
1038.02,SCC,0.921733263,4.69E-25,0.805492754,-0.172466113
1042.75,SCC,0.92354597,8.60E-25,0.785901339,-0.21986056
1047.49,SCC,0.92657787,2.43E-24,0.761086298,-0.270081589
1052.23,SCC,0.930424885,9.50E-24,0.726036342,-0.3441004
1056.96,SCC,0.934289159,3.97E-23,0.69628169,-0.408524128
1061.7,SCC,0.936941393,1.10E-22,0.67578368,-0.448338039
1066.44,SCC,0.938516572,2.04E-22,0.671157703,-0.448021214
1071.17,SCC,0.940357575,4.27E-22,0.663274549,-0.451161246
1075.91,SCC,0.942075658,8.65E-22,0.649151234,-0.462025765
1080.65,SCC,0.943683456,1.70E-21,0.666342524,-0.379812611
1085.38,SCC,0.943610653,1.65E-21,0.66938915,-0.347500122
